A_YEAR: Year of survey,B_COUNTRY: ISO 3166-1 numeric country code,N_REGION_ISO: Region ISO 3166-2,H_URBRURAL: Urban-Rural,Q260: Sex,X003R: Age recoded (6 intervals),Q272: Language at home,Q273: Marital status,Q275R: Highest educational level: Respondent (recoded into 3 groups),Q287: Social class (subjective),Q2: Important in life: Friends,Q3: Important in life: Leisure time,Q4: Important in life: Politics,Q5: Important in life: Work,Q6: Important in life: Religion,Q18: Neighbors: Drug addicts,Q19: Neighbors: People of a different race,Q20: Neighbors: People who have AIDS,Q21: Neighbors: Immigrants/foreign workers,Q22: Neighbors: Homosexuals,Q23: Neighbors: People of a different religion,Q24: Neighbors: Heavy drinkers,Q25: Neighbors: Unmarried couples living together,Q26: Neighbors: People who speak a different language,Q27: One of main goals in life has been to make my parents proud,Q29: Men make better political leaders than women do,Q30: University is more important for a boy than for a girl,Q31: Men make better business executives than women do,Q32: Being a housewife just as fulfilling,Q33: Jobs scarce: Men should have more right to a job than women,Q34: Jobs scarce: Employers should give priority to (nation) people than immigrants,Q43: Future changes: Less importance placed on work,Q44: Future changes: More emphasis on technology,Q45: Future changes: Greater respect for authority,Q58: Trust: Your family,Q59: Trust: Your neighborhood,Q60: Trust: People you know personally,Q61: Trust: People you meet for the first time,Q62: Trust: People of another religion,Q63: Trust: People of another nationality,Q64: Confidence: Churches,Q65: Confidence: Armed Forces,Q66: Confidence: The Press,Q67: Confidence: Television,Q68: Confidence: Labor Unions,Q69: Confidence: The Police,Q70: Confidence: Justice System/Courts,Q71: Confidence: The Government,Q72: Confidence: The Political Parties,Q73: Confidence: Parliament,Q74: Confidence: The Civil Services,Q77: Confidence: Major Companies,Q79: Confidence: The Environmental Protection Movement,Q80: Confidence: The Women's Movement,Q81: Confidence: Charitable or humanitarian organizations,Q83: Confidence: The United Nations (UN),Q106: Incomes should be made more equal vs There should be greater incentives for individual effort,Q107: Private vs state ownership of business,Q108: Government's vs individual's responsibility,Q109: Competition good or harmful,Q110: Success: hard work vs luck,Q111: Protecting environment vs. Economic growth,Q151: Willingness to fight for country,Q152: Aims of country: first choice,Q154: Aims of respondent: first choice,"Q158: Science and technology are making our lives healthier, easier, and more comfortable","Q159: Because of science and technology, there will be more opportunities for the next generation",Q160: We depend too much on science and not enough on faith,"Q163: The world is better off, or worse off, because of science and technology",Q177: Justifiable: Claiming government benefits to which you are not entitled,Q178: Justifiable: Avoiding a fare on public transport,Q180: Justifiable: Cheating on taxes,Q181: Justifiable: Someone accepting a bribe in the course of their duties,Q182: Justifiable: Homosexuality,Q184: Justifiable: Abortion,Q185: Justifiable: Divorce,Q187: Justifiable: Suicide,Q189: Justifiable: For a man to beat his wife,Q235: Political system: Having a strong leader who does not have to bother with parliament and elections,"Q236: Political system: Having experts, not government, make decisions according to what they think is best for the country",Q237: Political system: Having the army rule,Q238: Political system: Having a democratic political system,Q241: Democracy: Governments tax the rich and subsidize the poor,Q242: Democracy: Religious authorities interpret the laws,Q243: Democracy: People choose their leaders in free elections,Q244: Democracy: People receive state aid for unemployment,Q245: Democracy: The army takes over when government is incompetent,Q246: Democracy: Civil rights protect people’s liberty against oppression,Q249: Democracy: Women have the same rights as men,Q250: Importance of democracy,Q251: How democratically is this country being governed today,Q253: Respect for individual human rights nowadays,Q254: National pride
2018,Iraq,IQ-BG Baghdad,Urban,Male,55-64,Arabic,Married,Lower,Working class,Very important,Rather important,Very important,Very important,Very important,Not mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Agree strongly,Agree strongly,Strongly disagree,Agree strongly,Agree strongly,Disagree strongly,Neither agree nor disagree,Bad thing,Good thing,Good thing,Trust completely,Trust completely,Trust completely,Trust somewhat,Do not trust at all,Do not trust at all,A great deal,A great deal,None at all,Quite a lot,None at all,A great deal,A great deal,None at all,None at all,None at all,None at all,None at all,None at all,A great deal,A great deal,None at all,There should be greater incentives for individual effort,8,People should take more responsibility to provide for themselves,3,Hard work doesn't generally bring success - it's more a matter of luck and connections,Economy growth and creating jobs,Yes,A high level of economic growth,Giving people more say in important government decisions,Completely agree,Completely agree,Completely disagree,A lot worse off,2,2,Never justifiable,Never justifiable,No answer,2,Never justifiable,Never justifiable,Never justifiable,Very bad,Very good,Very bad,Very bad,An essential characteristic of democracy,2,Not an essential characteristic of democracy,9,An essential characteristic of democracy,4,9,3,2,Fairly much  respect,Very proud
2018,Iraq,IQ-BG Baghdad,Urban,Male,25-34,Arabic,Married,Lower,Working class,Rather important,Very important,Not at all important,Very important,Very important,Not mentioned,Mentioned,Not mentioned,Mentioned,Not mentioned,Mentioned,Not mentioned,Mentioned,Mentioned,Agree strongly,Agree strongly,Agree,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Bad thing,Good thing,Good thing,Trust completely,Trust somewhat,Trust completely,Trust somewhat,Trust somewhat,Do not trust at all,A great deal,A great deal,Quite a lot,Quite a lot,Not very much,A great deal,A great deal,Not very much,None at all,None at all,Quite a lot,Not very much,Not very much,Don't know,A great deal,Don't know,9,6,People should take more responsibility to provide for themselves,2,Hard work doesn't generally bring success - it's more a matter of luck and connections,Economy growth and creating jobs,Yes,Making sure this country has strong defence forces,Maintaining order in the nation,Completely agree,Completely agree,Completely agree,A lot better off,Always justifiable,6,3,2,No answer,2,2,2,3,Fairly good,Fairly good,Fairly good,Fairly bad,8,6,An essential characteristic of democracy,An essential characteristic of democracy,8,9,5,9,5,A great deal of respect,Very proud
2018,Iraq,IQ-BG Baghdad,Urban,Male,25-34,Arabic,Single,Higher,Lower middle class,Very important,Very important,Rather important,Very important,Very important,Mentioned,Mentioned,Mentioned,Mentioned,Mentioned,Mentioned,Mentioned,Mentioned,Mentioned,Agree strongly,Agree,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Good thing,Good thing,Good thing,Trust completely,Trust somewhat,Trust somewhat,Do not trust at all,Trust completely,Trust somewhat,A great deal,Not very much,Not very much,Not very much,None at all,Not very much,None at all,None at all,None at all,None at all,Not very much,Not very much,Not very much,Not very much,A great deal,None at all,There should be greater incentives for individual effort,5,People should take more responsibility to provide for themselves,Competition is harmful,8,Protecting environment,Yes,A high level of economic growth,Protecting freedom of speech,Completely agree,Completely agree,5,A lot better off,Always justifiable,5,Always justifiable,6,No answer,5,5,6,6,Fairly Bad,Very good,Fairly bad,Fairly bad,5,5,An essential characteristic of democracy,8,An essential characteristic of democracy,An essential characteristic of democracy,An essential characteristic of democracy,Absolutely important,5,Not much respect,Very proud
2018,Iraq,IQ-BG Baghdad,Urban,Female,25-34,Arabic,Married,Lower,Lower middle class,Very important,Rather important,Very important,Very important,Very important,Mentioned,Mentioned,Mentioned,Mentioned,Mentioned,Mentioned,Mentioned,Mentioned,Mentioned,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Bad thing,Good thing,Good thing,Trust completely,Trust completely,Trust completely,Do not trust very much,Trust completely,Do not trust very much,A great deal,A great deal,A great deal,Not very much,A great deal,A great deal,A great deal,None at all,None at all,None at all,A great deal,A great deal,A great deal,A great deal,A great deal,A great deal,7,7,7,6,9,Protecting environment,Yes,Making sure this country has strong defence forces,Maintaining order in the nation,Completely agree,6,7,6,6,5,6,6,No answer,6,Always justifiable,8,7,Fairly Bad,Very good,Very good,Very good,An essential characteristic of democracy,9,An essential characteristic of democracy,An essential characteristic of democracy,An essential characteristic of democracy,An essential characteristic of democracy,An essential characteristic of democracy,Absolutely important,5,Fairly much  respect,Very proud
2018,Iraq,IQ-BG Baghdad,Urban,Male,16-24,Arabic,Single,Middle,Upper middle class,Very important,Not at all important,Rather important,Very important,Very important,Mentioned,Mentioned,Mentioned,Mentioned,Mentioned,Mentioned,Mentioned,Mentioned,Mentioned,Agree strongly,Disagree,Disagree,Disagree,Disagree,Agree strongly,Agree strongly,Good thing,Good thing,Good thing,Trust completely,Trust somewhat,Trust somewhat,Trust somewhat,Trust somewhat,Trust somewhat,Not very much,Not very much,A great deal,A great deal,Not very much,Not very much,Not very much,Not very much,Not very much,Not very much,Not very much,Not very much,A great deal,Not very much,Not very much,Not very much,There should be greater incentives for individual effort,Government ownership of business should be increased,6,Competition is harmful,Hard work doesn't generally bring success - it's more a matter of luck and connections,Protecting environment,Yes,Trying to make our cities and countryside more beautiful,Maintaining order in the nation,6,6,6,A lot better off,Always justifiable,6,6,6,No answer,5,5,6,6,Very good,Very good,Very good,Very good,9,7,An essential characteristic of democracy,6,7,6,An essential characteristic of democracy,6,5,Not much respect,Very proud
2018,Iraq,IQ-BG Baghdad,Urban,Female,25-34,Arabic,Married,Middle,Lower middle class,Rather important,Very important,Not at all important,Very important,Very important,Not mentioned,Mentioned,Not mentioned,Mentioned,Not mentioned,Mentioned,Not mentioned,Mentioned,Mentioned,Agree strongly,Disagree,Disagree,Agree,Disagree,Agree,Agree strongly,Bad thing,Good thing,Good thing,Trust completely,Trust somewhat,Do not trust very much,Do not trust very much,Trust somewhat,Do not trust at all,Quite a lot,A great deal,Not very much,Not very much,None at all,Quite a lot,Not very much,Not very much,None at all,None at all,Quite a lot,None at all,None at all,Not very much,Quite a lot,None at all,8,2,9,8,Hard work doesn't generally bring success - it's more a matter of luck and connections,Economy growth and creating jobs,Yes,Making sure this country has strong defence forces,Maintaining order in the nation,8,8,9,A lot better off,4,Never justifiable,Never justifiable,2,No answer,2,2,2,2,Fairly good,Fairly bad,Fairly bad,Fairly bad,8,3,9,An essential characteristic of democracy,8,8,An essential characteristic of democracy,5,6,Fairly much  respect,Quite proud
2018,Iraq,IQ-BG Baghdad,Urban,Male,16-24,Arabic,Married,Lower,Lower middle class,Very important,Not at all important,Not at all important,Very important,Very important,Not mentioned,Not mentioned,Mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Bad thing,Good thing,Good thing,Trust completely,Trust somewhat,Trust somewhat,Do not trust very much,Do not trust at all,Do not trust at all,A great deal,A great deal,None at all,None at all,A great deal,A great deal,A great deal,None at all,None at all,None at all,None at all,None at all,A great deal,None at all,A great deal,None at all,There should be greater incentives for individual effort,Government ownership of business should be increased,9,Competition is good,5,Protecting environment,Yes,Making sure this country has strong defence forces,Maintaining order in the nation,Completely agree,Completely disagree,Completely agree,9,Always justifiable,Never justifiable,2,Never justifiable,No answer,4,Never justifiable,Never justifiable,Never justifiable,Very bad,Very bad,Very bad,Very bad,2,Not an essential characteristic of democracy,An essential characteristic of democracy,An essential characteristic of democracy,9,9,An essential characteristic of democracy,8,5,No respect at all,Very proud
2018,Iraq,IQ-BG Baghdad,Urban,Female,25-34,Arabic,Married,Lower,Lower class,Not very important,Rather important,Not very important,Rather important,Very important,Mentioned,Not mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Agree strongly,Agree,Strongly disagree,Strongly disagree,Agree strongly,Agree strongly,Agree strongly,Bad thing,Good thing,Good thing,Trust completely,Do not trust very much,Trust somewhat,Do not trust very much,Trust somewhat,Do not trust very much,Not very much,A great deal,Not very much,Not very much,Not very much,Quite a lot,Not very much,Not very much,None at all,None at all,Not very much,Not very much,None at all,None at all,Not very much,None at all,2,2,9,6,2,Economy growth and creating jobs,Yes,Making sure this country has strong defence forces,Maintaining order in the nation,7,8,3,9,3,5,7,6,No answer,3,5,3,5,Very bad,Fairly bad,Very bad,Fairly good,3,2,9,2,4,3,5,9,3,Fairly much  respect,Quite proud
2018,Iraq,IQ-BG Baghdad,Urban,Male,25-34,Arabic,Married,Lower,Working class,Rather important,Rather important,Not very important,Very important,Very important,Not mentioned,Mentioned,Not mentioned,Mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Mentioned,Agree,Agree strongly,Disagree,Disagree,Agree,Neither agree nor disagree,Agree strongly,Bad thing,Good thing,Good thing,Trust completely,Trust somewhat,Trust somewhat,Do not trust very much,Trust somewhat,Do not trust at all,A great deal,A great deal,Not very much,Not very much,Not very much,Quite a lot,Not very much,Not very much,None at all,None at all,Quite a lot,None at all,None at all,Not very much,Not very much,Not very much,6,3,9,2,Hard work doesn't generally bring success - it's more a matter of luck and connections,Economy growth and creating jobs,Yes,Making sure this country has strong defence forces,Maintaining order in the nation,9,Completely agree,8,9,5,2,3,3,No answer,2,2,2,2,Fairly Bad,Fairly bad,Fairly good,Fairly bad,8,6,7,9,8,8,An essential characteristic of democracy,9,9,Not much respect,Very proud
2018,Iraq,IQ-BG Baghdad,Urban,Male,45-54,Arabic,Married,Lower,Lower middle class,Very important,Very important,Rather important,Very important,Very important,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Agree strongly,Disagree,Strongly disagree,Agree,Agree strongly,Agree,Agree strongly,Bad thing,Good thing,Good thing,Trust completely,Trust somewhat,Trust completely,Trust somewhat,Trust somewhat,Do not trust at all,Not very much,Not very much,Quite a lot,Quite a lot,Not very much,Quite a lot,Not very much,None at all,None at all,None at all,None at all,None at all,None at all,Not very much,Not very much,Not very much,9,2,9,9,9,Economy growth and creating jobs,Yes,Making sure this country has strong defence forces,Maintaining order in the nation,9,9,5,9,7,2,5,8,No answer,5,6,2,2,Very good,Fairly bad,Fairly good,Very bad,2,2,8,2,9,2,6,5,4,No respect at all,Not at all proud
2018,Iraq,IQ-BG Baghdad,Urban,Male,65 and more years,Arabic,Single,Middle,Upper class,Very important,Not at all important,Very important,Very important,Very important,Not mentioned,Mentioned,Mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,Mentioned,Mentioned,Agree strongly,Agree,Strongly disagree,Strongly disagree,Agree strongly,Agree strongly,Agree strongly,Bad thing,Good thing,Good thing,Trust completely,Trust completely,Trust completely,Do not trust very much,Trust completely,Trust completely,A great deal,A great deal,A great deal,A great deal,None at all,A great deal,Not very much,A great deal,None at all,None at all,None at all,Not very much,None at all,None at all,A great deal,None at all,9,2,3,Competition is harmful,9,Economy growth and creating jobs,Yes,A high level of economic growth,Maintaining order in the nation,Completely agree,Completely agree,2,A lot better off,3,2,2,3,No answer,4,3,2,3,Very bad,Very good,Very bad,Very bad,9,9,9,An essential characteristic of democracy,9,9,8,9,3,No respect at all,Very proud
2018,Iraq,IQ-BG Baghdad,Urban,Male,65 and more years,Arabic,Single,Lower,Working class,Not very important,Rather important,Not at all important,Rather important,Very important,Not mentioned,Mentioned,Not mentioned,Mentioned,Not mentioned,Mentioned,Not mentioned,Mentioned,Mentioned,Agree strongly,Agree,Disagree,Disagree,Agree strongly,Agree,Neither agree nor disagree,Good thing,Good thing,Good thing,Trust completely,Do not trust very much,Trust completely,Trust completely,Trust somewhat,Trust somewhat,Quite a lot,A great deal,A great deal,A great deal,Not very much,A great deal,A great deal,A great deal,A great deal,A great deal,Not very much,A great deal,Not very much,Quite a lot,Quite a lot,Not very much,6,4,6,7,6,Economy growth and creating jobs,Yes,A high level of economic growth,Maintaining order in the nation,7,7,7,7,3,7,6,6,No answer,8,6,6,5,Very good,Very good,Fairly bad,Fairly bad,7,5,7,7,7,8,5,5,5,Not much respect,Very proud
2018,Iraq,IQ-BG Baghdad,Urban,Female,65 and more years,Arabic,Married,Lower,Lower middle class,Rather important,Not very important,Very important,Rather important,Very important,Not mentioned,Mentioned,Not mentioned,Mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Mentioned,Agree strongly,Agree strongly,Agree,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Bad thing,Good thing,Good thing,Trust completely,Trust somewhat,Trust completely,Do not trust very much,Trust completely,Do not trust very much,Quite a lot,A great deal,A great deal,A great deal,A great deal,A great deal,A great deal,Quite a lot,Not very much,Quite a lot,Not very much,A great deal,A great deal,A great deal,A great deal,Quite a lot,6,6,5,5,5,Economy growth and creating jobs,Yes,Making sure this country has strong defence forces,Giving people more say in important government decisions,6,7,4,6,5,6,5,4,No answer,5,6,6,6,Very good,Fairly bad,Fairly bad,Fairly good,7,6,7,7,6,6,6,7,7,Not much respect,Very proud
2018,Iraq,IQ-BG Baghdad,Urban,Female,55-64,Arabic,Divorced,Lower,Lower middle class,Very important,Not very important,Rather important,Very important,Very important,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Mentioned,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree,Bad thing,Good thing,Good thing,Trust completely,Trust somewhat,Trust completely,Do not trust very much,Trust completely,Do not trust very much,Quite a lot,A great deal,Not very much,A great deal,None at all,None at all,None at all,Not very much,None at all,None at all,None at all,Not very much,Not very much,None at all,A great deal,Not very much,5,5,5,5,5,Economy growth and creating jobs,No,A high level of economic growth,Maintaining order in the nation,4,4,4,5,6,6,5,5,No answer,5,5,6,5,Fairly good,Very good,Fairly bad,Fairly good,7,4,5,4,6,4,6,6,6,No respect at all,Very proud
2018,Iraq,IQ-BG Baghdad,Urban,Male,55-64,Arabic,Married,Higher,Working class,Rather important,Very important,Not at all important,Very important,Very important,Not mentioned,Mentioned,Not mentioned,Mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Mentioned,Agree strongly,Agree strongly,Strongly disagree,Agree strongly,Agree strongly,Agree strongly,Neither agree nor disagree,Bad thing,Good thing,Don't mind,Trust completely,Trust somewhat,Do not trust very much,Do not trust at all,Trust completely,Trust completely,None at all,A great deal,Not very much,None at all,None at all,None at all,Not very much,None at all,None at all,None at all,Not very much,None at all,None at all,None at all,None at all,None at all,3,Government ownership of business should be increased,People should take more responsibility to provide for themselves,Competition is harmful,9,Economy growth and creating jobs,No,A high level of economic growth,Maintaining order in the nation,Completely agree,Completely agree,5,3,8,2,2,2,No answer,Never justifiable,2,2,2,Very good,Very good,Fairly bad,Fairly bad,An essential characteristic of democracy,5,An essential characteristic of democracy,An essential characteristic of democracy,9,2,An essential characteristic of democracy,Absolutely important,2,No respect at all,Quite proud
